'Ref','Date','Time','Description','Profile ID','Cart ID','Type','Batch','Matured','Debit','Credit','Balance'
"3321549609","11/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","257.07","","711.44"
"3321713222","11/05/2026","22:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","286.96","","424.48"
"3321824146","12/05/2026","01:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","424.48","","0.00"
"3322133428","12/05/2026","09:59:25","Sale 08S1C346DEE","5957624","1","Sale Settlement","12/05/2026","12/05/2026","","282.00","282.00"
"3322133428","12/05/2026","09:59:25","Merchant Service Charge for Sale Ref: 08S1C346DEE","5957624","1","Merchant Service Charge","12/05/2026","12/05/2026","2.43","","279.57"
"3322254506","12/05/2026","12:09:20","Sale 08S1C34AC53","5957624","1","Sale Settlement","12/05/2026","12/05/2026","","108.00","387.57"
"3322254506","12/05/2026","12:09:20","Merchant Service Charge for Sale Ref: 08S1C34AC53","5957624","1","Merchant Service Charge","12/05/2026","12/05/2026","0.95","","386.62"
"3322274342","12/05/2026","12:29:22","Sale 08S1C34B68E","5957624","1","Sale Settlement","12/05/2026","12/05/2026","","162.00","548.62"
"3322274342","12/05/2026","12:29:22","Merchant Service Charge for Sale Ref: 08S1C34B68E","5957624","1","Merchant Service Charge","12/05/2026","12/05/2026","0.60","","548.02"
"3322337603","12/05/2026","14:15:19","Sale 08S1C351AA5","5957624","1","Sale Settlement","13/05/2026","13/05/2026","","186.00","734.02"
"3322337603","12/05/2026","14:15:19","Merchant Service Charge for Sale Ref: 08S1C351AA5","5957624","1","Merchant Service Charge","13/05/2026","13/05/2026","0.68","","733.34"
"3322404953","12/05/2026","15:29:19","Decline 08S1C3568CE","5957624","","Decline Fee","12/05/2026","12/05/2026","0.04","","733.30"
"3322405312","12/05/2026","15:29:24","Sale 08S1C356987","5957624","1","Sale Settlement","13/05/2026","13/05/2026","","108.00","841.30"
"3322405312","12/05/2026","15:29:24","Merchant Service Charge for Sale Ref: 08S1C356987","5957624","1","Merchant Service Charge","13/05/2026","13/05/2026","0.41","","840.89"
"3322682844","12/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","279.53","","561.36"
"3322834432","12/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","268.45","","292.91"
"3322886683","13/05/2026","01:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","185.32","","107.59"
"3322896131","13/05/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","107.59","","0.00"
"3323084743","13/05/2026","07:53:11","Sale 08S1C36A4DE","5957624","1","Sale Settlement","13/05/2026","13/05/2026","","198.00","198.00"
"3323084743","13/05/2026","07:53:11","Merchant Service Charge for Sale Ref: 08S1C36A4DE","5957624","1","Merchant Service Charge","13/05/2026","13/05/2026","1.71","","196.29"
"3323201343","13/05/2026","09:57:31","Decline 08S1C36DAD4","5957624","","Decline Fee","13/05/2026","13/05/2026","0.04","","196.25"
"3323201805","13/05/2026","09:59:14","Sale 08S1C36DB33","5957624","1","Sale Settlement","13/05/2026","13/05/2026","","264.00","460.25"
"3323201805","13/05/2026","09:59:14","Merchant Service Charge for Sale Ref: 08S1C36DB33","5957624","1","Merchant Service Charge","13/05/2026","13/05/2026","0.95","","459.30"
"3323230404","13/05/2026","10:31:19","Sale 08S1C36E9E7","5957624","1","Sale Settlement","13/05/2026","13/05/2026","","240.00","699.30"
"3323230404","13/05/2026","10:31:19","Merchant Service Charge for Sale Ref: 08S1C36E9E7","5957624","1","Merchant Service Charge","13/05/2026","13/05/2026","2.07","","697.23"
"3323372095","13/05/2026","13:03:18","Sale 08S1C37335A","5957624","1","Sale Settlement","13/05/2026","14/05/2026","","180.00","877.23"
"3323372095","13/05/2026","13:03:18","Merchant Service Charge for Sale Ref: 08S1C37335A","5957624","1","Merchant Service Charge","13/05/2026","14/05/2026","0.66","","876.57"
"3323414595","13/05/2026","13:53:10","Sale 08S1C37499F","5957624","1","Sale Settlement","13/05/2026","14/05/2026","","210.00","1,086.57"
"3323414595","13/05/2026","13:53:10","Merchant Service Charge for Sale Ref: 08S1C37499F","5957624","1","Merchant Service Charge","13/05/2026","14/05/2026","0.76","","1,085.81"
"3323672685","13/05/2026","18:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","196.25","","889.56"
"3323867366","13/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","263.05","","626.51"
"3323935243","13/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","237.93","","388.58"
"3324057600","14/05/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","388.58","","0.00"
"3324289520","14/05/2026","08:09:26","Sale 08S1C38C1D5","5957624","1","Sale Settlement","14/05/2026","14/05/2026","","108.00","108.00"
"3324289520","14/05/2026","08:09:26","Merchant Service Charge for Sale Ref: 08S1C38C1D5","5957624","1","Merchant Service Charge","14/05/2026","14/05/2026","0.41","","107.59"
"3324690573","14/05/2026","15:40:53","Decline 08S1C398EFF","5957624","","Decline Fee","14/05/2026","14/05/2026","0.04","","107.55"
"3324692700","14/05/2026","15:42:46","Decline 08S1C398F8E","5957624","","Decline Fee","14/05/2026","14/05/2026","0.04","","107.51"
"3324693785","14/05/2026","15:43:01","Sale 08S1C399054","5957624","1","Sale Settlement","15/05/2026","15/05/2026","","606.00","713.51"
"3324693785","14/05/2026","15:43:01","Merchant Service Charge for Sale Ref: 08S1C399054","5957624","1","Merchant Service Charge","15/05/2026","15/05/2026","5.18","","708.33"
"3324936876","14/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","107.51","","600.82"
"3325297076","15/05/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","600.82","","0.00"
"3325626412","15/05/2026","08:14:08","Sale 08S1C3ADFF9","5957624","1","Sale Settlement","15/05/2026","15/05/2026","","174.00","174.00"
"3325626412","15/05/2026","08:14:08","Merchant Service Charge for Sale Ref: 08S1C3ADFF9","5957624","1","Merchant Service Charge","15/05/2026","15/05/2026","0.64","","173.36"
"3325887904","15/05/2026","12:18:58","Sale 08S1C3B6344","5957624","1","Sale Settlement","15/05/2026","15/05/2026","","132.00","305.36"
"3325887904","15/05/2026","12:18:58","Merchant Service Charge for Sale Ref: 08S1C3B6344","5957624","1","Merchant Service Charge","15/05/2026","15/05/2026","0.49","","304.87"
"3325933493","15/05/2026","13:00:53","Sale 08S1C3B7C6E","5957624","1","Sale Settlement","15/05/2026","16/05/2026","","234.00","538.87"
"3325933493","15/05/2026","13:00:53","Merchant Service Charge for Sale Ref: 08S1C3B7C6E","5957624","1","Merchant Service Charge","15/05/2026","16/05/2026","0.85","","538.02"
"3326206824","15/05/2026","16:54:54","Decline 08S1C3C441C","5957624","","Decline Fee","15/05/2026","15/05/2026","0.04","","537.98"
"3326208140","15/05/2026","16:56:06","Sale 08S1C3C45F2","5957624","1","Sale Settlement","16/05/2026","16/05/2026","","318.00","855.98"
"3326208140","15/05/2026","16:56:06","Merchant Service Charge for Sale Ref: 08S1C3C45F2","5957624","1","Merchant Service Charge","16/05/2026","16/05/2026","2.73","","853.25"
"3326364214","15/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","173.32","","679.93"
"3326637845","15/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","131.51","","548.42"
"3326669259","16/05/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","233.15","","315.27"
"3326749631","16/05/2026","03:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","315.27","","0.00"
"3329072562","18/05/2026","09:04:09","Sale 08S1C42B54B","5957624","1","Sale Settlement","18/05/2026","18/05/2026","","198.00","198.00"
"3329072562","18/05/2026","09:04:09","Merchant Service Charge for Sale Ref: 08S1C42B54B","5957624","1","Merchant Service Charge","18/05/2026","18/05/2026","1.71","","196.29"
"3329243928","18/05/2026","12:04:51","Sale 08S1C430BAC","5957624","1","Sale Settlement","18/05/2026","18/05/2026","","384.00","580.29"
"3329243928","18/05/2026","12:04:51","Merchant Service Charge for Sale Ref: 08S1C430BAC","5957624","1","Merchant Service Charge","18/05/2026","18/05/2026","3.29","","577.00"
"3329265895","18/05/2026","12:28:54","Sale 08S1C43173A","5957624","1","Sale Settlement","18/05/2026","18/05/2026","","180.00","757.00"
"3329265895","18/05/2026","12:28:54","Merchant Service Charge for Sale Ref: 08S1C43173A","5957624","1","Merchant Service Charge","18/05/2026","18/05/2026","0.66","","756.34"
"3329463340","18/05/2026","15:52:59","Sale 08S1C437E23","5957624","1","Sale Settlement","19/05/2026","19/05/2026","","402.00","1,158.34"
"3329463340","18/05/2026","15:52:59","Merchant Service Charge for Sale Ref: 08S1C437E23","5957624","1","Merchant Service Charge","19/05/2026","19/05/2026","1.44","","1,156.90"
"3329776502","18/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","196.29","","960.61"
"3329938468","18/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","560.05","","400.56"
"3330006101","19/05/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","400.56","","0.00"
"3330226995","19/05/2026","08:46:53","Sale 08S1C44B10F","5957624","1","Sale Settlement","19/05/2026","19/05/2026","","204.00","204.00"
"3330226995","19/05/2026","08:46:53","Merchant Service Charge for Sale Ref: 08S1C44B10F","5957624","1","Merchant Service Charge","19/05/2026","19/05/2026","0.74","","203.26"
"3330416979","19/05/2026","12:20:45","Decline 08S1C45225C","5957624","","Decline Fee","19/05/2026","19/05/2026","0.04","","203.22"
"3330418007","19/05/2026","12:20:55","Sale 08S1C452318","5957624","1","Sale Settlement","19/05/2026","19/05/2026","","240.00","443.22"
"3330418007","19/05/2026","12:20:55","Merchant Service Charge for Sale Ref: 08S1C452318","5957624","1","Merchant Service Charge","19/05/2026","19/05/2026","0.87","","442.35"
"3330592834","19/05/2026","15:26:51","Sale 08S1C45E06D","5957624","1","Sale Settlement","20/05/2026","20/05/2026","","396.00","838.35"
"3330592834","19/05/2026","15:26:51","Merchant Service Charge for Sale Ref: 08S1C45E06D","5957624","1","Merchant Service Charge","20/05/2026","20/05/2026","1.42","","836.93"
"3330812624","19/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","203.22","","633.71"
"3331033991","19/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","239.13","","394.58"
"3331098388","20/05/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","394.58","","0.00"
"3331315075","20/05/2026","08:28:45","Sale 08S1C47ADB9","5957624","1","Sale Settlement","20/05/2026","20/05/2026","","181.20","181.20"
"3331315075","20/05/2026","08:28:45","Merchant Service Charge for Sale Ref: 08S1C47ADB9","5957624","1","Merchant Service Charge","20/05/2026","20/05/2026","0.66","","180.54"
"3331426058","20/05/2026","10:46:53","Sale 08S1C47F1DC","5957624","1","Sale Settlement","20/05/2026","20/05/2026","","204.00","384.54"
"3331426058","20/05/2026","10:46:53","Merchant Service Charge for Sale Ref: 08S1C47F1DC","5957624","1","Merchant Service Charge","20/05/2026","20/05/2026","0.74","","383.80"
"3331431862","20/05/2026","10:52:53","Sale 08S1C47F4E7","5957624","1","Sale Settlement","20/05/2026","20/05/2026","","6.16","389.96"
"3331431862","20/05/2026","10:52:53","Merchant Service Charge for Sale Ref: 08S1C47F4E7","5957624","1","Merchant Service Charge","20/05/2026","20/05/2026","0.05","","389.91"
"3331623530","20/05/2026","14:30:57","Sale 08S1C4876EE","5957624","1","Sale Settlement","21/05/2026","21/05/2026","","408.00","797.91"
"3331623530","20/05/2026","14:30:57","Merchant Service Charge for Sale Ref: 08S1C4876EE","5957624","1","Merchant Service Charge","21/05/2026","21/05/2026","3.50","","794.41"
"3331902493","20/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","180.54","","613.87"
"3332036514","20/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","209.37","","404.50"
"3332195618","21/05/2026","01:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","404.50","","0.00"
"3332415391","21/05/2026","08:20:52","Sale 08S1C4A62AD","5957624","1","Sale Settlement","21/05/2026","21/05/2026","","162.00","162.00"
"3332415391","21/05/2026","08:20:52","Merchant Service Charge for Sale Ref: 08S1C4A62AD","5957624","1","Merchant Service Charge","21/05/2026","21/05/2026","0.60","","161.40"
"3332488590","21/05/2026","09:46:57","Sale 08S1C4A8D29","5957624","1","Sale Settlement","21/05/2026","21/05/2026","","210.00","371.40"
"3332488590","21/05/2026","09:46:57","Merchant Service Charge for Sale Ref: 08S1C4A8D29","5957624","1","Merchant Service Charge","21/05/2026","21/05/2026","0.76","","370.64"
"3332601432","21/05/2026","11:51:04","Sale 08S1C4AD23E","5957624","1","Sale Settlement","21/05/2026","21/05/2026","","174.00","544.64"
"3332601432","21/05/2026","11:51:04","Merchant Service Charge for Sale Ref: 08S1C4AD23E","5957624","1","Merchant Service Charge","21/05/2026","21/05/2026","0.64","","544.00"
"3332755907","21/05/2026","14:45:04","Sale 08S1C4B41F9","5957624","1","Sale Settlement","22/05/2026","22/05/2026","","408.00","952.00"
"3332755907","21/05/2026","14:45:04","Merchant Service Charge for Sale Ref: 08S1C4B41F9","5957624","1","Merchant Service Charge","22/05/2026","22/05/2026","1.46","","950.54"
"3333089422","21/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","161.40","","789.14"
"3333170317","21/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","209.24","","579.90"
"3333275366","21/05/2026","22:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","173.36","","406.54"
"3333431296","22/05/2026","01:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","406.54","","0.00"
"3334004963","22/05/2026","11:22:48","Sale 08S1C4E1994","5957624","1","Sale Settlement","22/05/2026","22/05/2026","","108.00","108.00"
"3334004963","22/05/2026","11:22:48","Merchant Service Charge for Sale Ref: 08S1C4E1994","5957624","1","Merchant Service Charge","22/05/2026","22/05/2026","0.41","","107.59"
"3334047186","22/05/2026","12:00:54","Sale 08S1C4E3254","5957624","1","Sale Settlement","22/05/2026","22/05/2026","","282.00","389.59"
"3334047186","22/05/2026","12:00:54","Merchant Service Charge for Sale Ref: 08S1C4E3254","5957624","1","Merchant Service Charge","22/05/2026","22/05/2026","5.25","","384.34"
"3334259106","22/05/2026","15:06:59","Sale 08S1C4E9D2F","5957624","1","Sale Settlement","23/05/2026","23/05/2026","","174.00","558.34"
"3334259106","22/05/2026","15:06:59","Merchant Service Charge for Sale Ref: 08S1C4E9D2F","5957624","1","Merchant Service Charge","23/05/2026","23/05/2026","0.64","","557.70"
"3334740451","22/05/2026","22:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","107.59","","450.11"
"3334836919","22/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","276.75","","173.36"
"3334906761","23/05/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","173.36","","0.00"
"3338157987","26/05/2026","10:22:53","Sale 08S1C55B56A","5957624","1","Sale Settlement","26/05/2026","26/05/2026","","336.00","336.00"
"3338157987","26/05/2026","10:22:53","Merchant Service Charge for Sale Ref: 08S1C55B56A","5957624","1","Merchant Service Charge","26/05/2026","26/05/2026","6.25","","329.75"
"3338317080","26/05/2026","13:35:09","Sale 08S1C562C3A","5957624","1","Sale Settlement","26/05/2026","27/05/2026","","342.00","671.75"
"3338317080","26/05/2026","13:35:09","Merchant Service Charge for Sale Ref: 08S1C562C3A","5957624","1","Merchant Service Charge","26/05/2026","27/05/2026","1.23","","670.52"
"3338756249","26/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","329.75","","340.77"
"3338881925","27/05/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","340.77","","0.00"
"3339247149","27/05/2026","09:58:16","Sale 08S1C58B624","5957624","1","Sale Settlement","27/05/2026","27/05/2026","","120.00","120.00"
"3339247149","27/05/2026","09:58:16","Merchant Service Charge for Sale Ref: 08S1C58B624","5957624","1","Merchant Service Charge","27/05/2026","27/05/2026","1.05","","118.95"
"3339389494","27/05/2026","12:27:16","Sale 08S1C590E57","5957624","1","Sale Settlement","27/05/2026","27/05/2026","","696.60","815.55"
"3339389494","27/05/2026","12:27:16","Merchant Service Charge for Sale Ref: 08S1C590E57","5957624","1","Merchant Service Charge","27/05/2026","27/05/2026","2.47","","813.08"
"3339855650","27/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","118.95","","694.13"
"3340019887","27/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","694.13","","0.00"
"3346210478","01/06/2026","08:39:02","Sale 08S1C65E24B","5957624","1","Sale Settlement","01/06/2026","01/06/2026","","138.00","138.00"
"3346210478","01/06/2026","08:39:02","Merchant Service Charge for Sale Ref: 08S1C65E24B","5957624","1","Merchant Service Charge","01/06/2026","01/06/2026","0.51","","137.49"
"3346544184","01/06/2026","13:52:20","Sale 08S1C669154","5957624","1","Sale Settlement","01/06/2026","02/06/2026","","696.00","833.49"
"3346544184","01/06/2026","13:52:20","Merchant Service Charge for Sale Ref: 08S1C669154","5957624","1","Merchant Service Charge","01/06/2026","02/06/2026","5.95","","827.54"
"3346913960","01/06/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","137.49","","690.05"
"3347237160","02/06/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","690.05","","0.00"
"3347571221","02/06/2026","08:58:55","Sale 08S1C682C46","5957624","1","Sale Settlement","02/06/2026","02/06/2026","","186.00","186.00"
"3347571221","02/06/2026","08:58:55","Merchant Service Charge for Sale Ref: 08S1C682C46","5957624","1","Merchant Service Charge","02/06/2026","02/06/2026","0.68","","185.32"
"3347682287","02/06/2026","10:54:58","Sale 08S1C6864DE","5957624","1","Sale Settlement","02/06/2026","02/06/2026","","174.00","359.32"
"3347682287","02/06/2026","10:54:58","Merchant Service Charge for Sale Ref: 08S1C6864DE","5957624","1","Merchant Service Charge","02/06/2026","02/06/2026","0.64","","358.68"
"3347828749","02/06/2026","13:19:06","Sale 08S1C68C318","5957624","1","Sale Settlement","02/06/2026","03/06/2026","","78.00","436.68"
"3347828749","02/06/2026","13:19:06","Merchant Service Charge for Sale Ref: 08S1C68C318","5957624","1","Merchant Service Charge","02/06/2026","03/06/2026","0.30","","436.38"
"3347929610","02/06/2026","15:04:55","Sale 08S1C693AB2","5957624","1","Sale Settlement","03/06/2026","03/06/2026","","243.00","679.38"
"3347929610","02/06/2026","15:04:55","Merchant Service Charge for Sale Ref: 08S1C693AB2","5957624","1","Merchant Service Charge","03/06/2026","03/06/2026","0.88","","678.50"
"3348178801","02/06/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","185.32","","493.18"
"3348319353","02/06/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","173.36","","319.82"
"3348490125","03/06/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","77.70","","242.12"
"3348530897","03/06/2026","02:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","242.12","","0.00"
"3348839670","03/06/2026","10:05:03","Sale 08S1C6B5814","5957624","1","Sale Settlement","03/06/2026","03/06/2026","","276.00","276.00"
"3348839670","03/06/2026","10:05:03","Merchant Service Charge for Sale Ref: 08S1C6B5814","5957624","1","Merchant Service Charge","03/06/2026","03/06/2026","3.76","","272.24"
"3348942369","03/06/2026","12:00:58","Sale 08S1C6B8D1A","5957624","1","Sale Settlement","03/06/2026","03/06/2026","","198.00","470.24"
"3348942369","03/06/2026","12:00:58","Merchant Service Charge for Sale Ref: 08S1C6B8D1A","5957624","1","Merchant Service Charge","03/06/2026","03/06/2026","0.72","","469.52"
"3349527820","03/06/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","272.24","","197.28"
"3349669545","03/06/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","197.28","","0.00"
"3350019569","04/06/2026","09:34:52","Sale 08S1C6E0C09","5957624","1","Sale Settlement","04/06/2026","04/06/2026","","216.00","216.00"
"3350019569","04/06/2026","09:34:52","Merchant Service Charge for Sale Ref: 08S1C6E0C09","5957624","1","Merchant Service Charge","04/06/2026","04/06/2026","1.87","","214.13"
"3350049018","04/06/2026","10:09:04","Sale 08S1C6E1E1A","5957624","1","Sale Settlement","04/06/2026","04/06/2026","","201.00","415.13"
"3350049018","04/06/2026","10:09:04","Merchant Service Charge for Sale Ref: 08S1C6E1E1A","5957624","1","Merchant Service Charge","04/06/2026","04/06/2026","0.73","","414.40"
